"kind","id","title","hru","url","category","Wikipedia"
2,1112123,"Михайло Ломоносов","mihaylo_lomonosov","http://www.ivi.ru/watch/mihaylo_lomonosov",,
2,746026,"В лесах и на горах","v_lesah_i_na_gorah","http://www.ivi.ru/watch/v_lesah_i_na_gorah",,
2,821043,"Министр энергетики","ministr_energetiki","http://www.ivi.ru/watch/ministr_energetiki",,
2,1051814,"Святая Земля","svyataya_zemlya","http://www.ivi.ru/watch/svyataya_zemlya",,
2,1152399,"Холодное сердце","holodnoe_serdtse","http://www.ivi.ru/watch/holodnoe_serdtse",,
2,434584,"Разрушители мифов","razrushiteli_mifov","http://www.ivi.ru/watch/razrushiteli_mifov",,
2,393726,"Сандокан 2","sandokan_2","http://www.ivi.ru/watch/sandokan_2",,
2,875772,"Спасите наши души","spasite_nashi_dushi","http://www.ivi.ru/watch/spasite_nashi_dushi",,
2,821028,"Великая книга природы","velikaya_kniga_prirody","http://www.ivi.ru/watch/velikaya_kniga_prirody",,
2,522062,"Катерина. Возвращение любви","katerina_vozvraschenie_lubvi","http://www.ivi.ru/watch/katerina_vozvraschenie_lubvi",,
2,1018012,"Золото Трои","zoloto_troi","http://www.ivi.ru/watch/zoloto_troi",,
2,1225922,"Sказка О Sчастье","skazka_o_schastye","http://www.ivi.ru/watch/skazka_o_schastye",,
2,380578,"Он и Она – Секреты отношений","on_i_ona_sekrety_otnosheniy","http://www.ivi.ru/watch/on_i_ona_sekrety_otnosheniy",,
2,610316,"Осенние цветы","osennie_tsvety","http://www.ivi.ru/watch/osennie_tsvety",,
2,991365,"Икона","ikona","http://www.ivi.ru/watch/ikona",,
2,1072243,"Инспектор Гаджет","inspektor_gadzhet","http://www.ivi.ru/watch/inspektor_gadzhet",,
2,1119072,"Игра без правил","igra_bez_pravil","http://www.ivi.ru/watch/igra_bez_pravil",,
2,5650,"О рыбалке всерьез","o_rybalke_vseryez","http://www.ivi.ru/watch/o_rybalke_vseryez",,
2,821275,"Смерть шпионам. Крым","smert_shpionam_krym","http://www.ivi.ru/watch/smert_shpionam_krym",,
2,5705,"Сваты 5","svaty_5","http://www.ivi.ru/watch/svaty_5",,
2,1225919,"Сыщик без лицензии","syschik_bez_litsenzii","http://www.ivi.ru/watch/syschik_bez_litsenzii",,
2,281861,"Благословите женщину","blagoslovite_zhenschinu","http://www.ivi.ru/watch/blagoslovite_zhenschinu",,
2,821083,"Магия Криса Энджела","magia_krisa_endzhela","http://www.ivi.ru/watch/magia_krisa_endzhela",,
2,5688,"Чужой среди своих","chuzhoy_sredi_svoih","http://www.ivi.ru/watch/chuzhoy_sredi_svoih",,
2,766295,"Остров капитанов","ostrov_kapitanov","http://www.ivi.ru/watch/ostrov_kapitanov",,
2,610310,"Неодинокие","neodinokie","http://www.ivi.ru/watch/neodinokie",,
2,1112078,"Большая энциклопедия природы","bolshaya_entsiklopedia_prirody","http://www.ivi.ru/watch/bolshaya_entsiklopedia_prirody",,
2,5615,"Игрушки","igrushki","http://www.ivi.ru/watch/igrushki",,
2,475181,"Дедушка и я","dedushka_i_ya","http://www.ivi.ru/watch/dedushka_i_ya",,
2,185305,"Йеллоустоун","yelloustoun","http://www.ivi.ru/watch/yelloustoun",,
2,5706,"City","city","http://www.ivi.ru/watch/city",,
